Positive X,Negative X,Positive Y,Negative Y
a classic,aged poorly,popular,cult classic
actually cool,actually lame,trying too hard,not trying hard enough
actually fun,actually gross,kinky,vanilla
breakfast food,dinner food,healthy food,deadly food
classy,trashy,justice,revenge
commonly done,rarely done,best friend behavior,cult leader behavior
could have been an email,needs to be a meeting,low stress,panic inducing
delicious,gross,healthy,unhealthy
east,west,north,south
easy,hard,good idea,terrible idea
effective,useless,ethical,evil
forgivable,unforgivable,deliberate,accidental
friend-shaped,enemy-shaped,helpful,deadly
fun when sober,fun when drunk,good with friends,best done alone
good idea,terrible idea,tell everyone,take it to the grave
good parent,bad parent,fun parent,unfun parent
green flag,red flag,hot,gross
actually good,actually sucks,loved by fans,hated by fans
kid-friendly,adults only,traumatic,positive memory
kind,heartless,brave,cowardly
lawful,chaotic,good,evil
legal,probably illegal,good act,evil act
looks like a dinosaur,doesn't look like a dinosaur,is a dinosaur,is not a dinosaur
pet,pest,good,evil
respectable,embarrassing,rich people shit,poor people shit
resume booster,career-ending,impressive,embarrassing
scary,not scary,dangerous,safe
smooth,cringe,flirty,platonic
tasty,gross,technically a sandwich ,not a sandwich!
trustworthy,suspicious,charismatic,awkward
wholesome,cursed,romantic,horny
wholesome,cursed,romantic,horny
wizard behavior,goblin behavior,blessed,cursed
would absolutely kill you,harmless,cool death,embarrassing death
would improve your life,would ruin your life,sexy,gross
you're being nice,you're just an asshole,is true,is not true
data-driven,vibes-based,convincing,suspicious
production ready,first draft,encouraging,terrifying 
reply-all,for your eyes only,HR violation,everyday occurrence
unbiased,political,funny,unfunny
easy to explain,impossible to explain,good for humanity,bad for humanity
stupid,smart,friendly,mean
competent,incompetent,good boss,terrible boss
lots of work involved,easygoing,good time,super bummer
popular belief ,unpopular belief,harmless lie,dangerous lie
sounds true,sounds like some BS,is true,is BS
